Data;Godzina;Generacja Zrodel wiatrowych;Generacja Zrodel fotowoltaicznych
03.11.2021;1;875,65;0
03.11.2021;2;928,563;0
03.11.2021;3;947,763;0
03.11.2021;4;1000,875;0
03.11.2021;5;1076,338;0
03.11.2021;6;1135,663;0,025
03.11.2021;7;1191,263;8,375
03.11.2021;8;1197,263;114,175
03.11.2021;9;942,175;475,475
03.11.2021;10;639,975;907,438
03.11.2021;11;649,425;1282,875
03.11.2021;12;685,963;1487,213
03.11.2021;13;618,963;1481,75
03.11.2021;14;633,088;1323,05
03.11.2021;15;603,963;995,538
03.11.2021;16;584,5;348,575
03.11.2021;17;794,338;33,475
03.11.2021;18;1136,788;0,1
03.11.2021;19;1559,638;0,038
03.11.2021;20;1753,475;0
03.11.2021;21;1890,275;0,013
03.11.2021;22;1948,275;0,088
03.11.2021;23;1887,688;0
03.11.2021;24;1899,338;0
04.11.2021;1;1964,625;0
04.11.2021;2;2028,638;0
04.11.2021;3;2150,788;0
04.11.2021;4;2306,025;0
04.11.2021;5;2510,4;0
04.11.2021;6;2647,138;0,3
04.11.2021;7;2881,438;4,688
04.11.2021;8;3137,388;75,563
04.11.2021;9;3071,238;175,113
04.11.2021;10;2949,763;341,275
04.11.2021;11;2954,913;500,288
04.11.2021;12;3250,875;471,55
04.11.2021;13;3460,6;625,95
04.11.2021;14;4064,563;437,175
04.11.2021;15;4416,238;335,3
04.11.2021;16;4388,713;224,938
04.11.2021;17;4611,55;28,238
04.11.2021;18;4578,788;0,388
04.11.2021;19;4743,388;0,113
04.11.2021;20;5119,313;0,025
04.11.2021;21;5145,913;0
04.11.2021;22;4920,263;0
04.11.2021;23;4732,65;0,05
04.11.2021;24;4705,988;0,025
05.11.2021;1;4740,75;0
05.11.2021;2;4757,575;0
05.11.2021;3;4684,513;0
05.11.2021;4;4769,5;0
05.11.2021;5;4865,25;0,05
05.11.2021;6;5062,375;0
05.11.2021;7;5470,1;11,538
05.11.2021;8;5400,25;103,688
05.11.2021;9;5182,538;309,038
05.11.2021;10;4829,313;583
05.11.2021;11;4516,75;723,875
05.11.2021;12;4230,575;830,6
05.11.2021;13;4103,725;837,775
05.11.2021;14;3609,963;708,8
05.11.2021;15;3173,45;509,375
05.11.2021;16;3008,138;219,713
05.11.2021;17;3018,963;19,388
